coddis,ano,turmas,pfx,matr,semestre,unidade
0060029,2018,1,006,74,2,FSP
0060029,2019,1,006,82,2,FSP
0060029,2020,3,006,77,2,FSP
0060033,2019,1,006,28,2,FSP
0100101,2017,2,010,167,1,FMVZ
0100101,2018,2,010,160,1,FMVZ
0100101,2019,4,010,158,ambos,FMVZ
0100101,2020,1,010,76,1,FMVZ
0100111,2012,2,010,159,1,FMVZ
0100111,2013,2,010,162,1,FMVZ
0100111,2014,2,010,170,1,FMVZ
0100111,2015,2,010,162,1,FMVZ
0100111,2016,2,010,158,1,FMVZ
0100317,2012,1,010,66,1,FMVZ
0100317,2013,1,010,76,1,FMVZ
0100317,2014,1,010,69,1,FMVZ
0100317,2015,1,010,84,1,FMVZ
0100317,2016,1,010,72,1,FMVZ
0100317,2017,1,010,81,1,FMVZ
0100317,2018,1,010,67,1,FMVZ
0100317,2019,1,010,75,1,FMVZ
0100318,2012,43,010,76,2,FMVZ
0100318,2013,43,010,68,2,FMVZ
0100318,2014,32,010,52,2,FMVZ
0100318,2015,41,010,65,ambos,FMVZ
0100318,2016,47,010,72,ambos,FMVZ
0100318,2017,49,010,83,ambos,FMVZ
0100318,2018,51,010,73,ambos,FMVZ
0100318,2019,49,010,75,ambos,FMVZ
0100318,2020,31,010,44,ambos,FMVZ
0102201,2018,1,010,94,2,FMVZ
0102201,2019,1,010,80,2,FMVZ
0102201,2020,1,010,83,2,FMVZ
0110113,2012,2,011,201,1,ESALQ
0110113,2013,2,011,201,1,ESALQ
0110113,2014,2,011,199,1,ESALQ
0110113,2015,2,011,204,1,ESALQ
0110113,2016,2,011,205,1,ESALQ
0110113,2017,2,011,211,1,ESALQ
0110113,2018,2,011,215,1,ESALQ
0110113,2019,2,011,211,1,ESALQ
0110113,2020,2,011,199,1,ESALQ
0110130,2016,1,011,199,1,ESALQ
0110130,2017,2,011,224,1,ESALQ
0110130,2018,2,011,208,1,ESALQ
0110130,2019,2,011,222,1,ESALQ
0110130,2020,2,011,204,1,ESALQ
0110152,2018,2,011,22,2,ESALQ
0110152,2019,2,011,103,2,ESALQ
0110152,2020,4,011,79,2,ESALQ
0110225,2018,1,011,8,2,ESALQ
0110225,2019,1,011,32,2,ESALQ
0110350,2012,1,011,26,1,ESALQ
0110350,2013,1,011,22,1,ESALQ
0110350,2014,1,011,19,1,ESALQ
0110350,2015,1,011,25,1,ESALQ
0110350,2016,1,011,26,1,ESALQ
0110350,2017,1,011,27,1,ESALQ
0110350,2018,1,011,18,1,ESALQ
0110350,2019,1,011,31,1,ESALQ
0110350,2020,1,011,31,1,ESALQ
0110360,2012,1,011,32,1,ESALQ
0110360,2013,1,011,25,1,ESALQ
0110360,2014,1,011,16,1,ESALQ
0110360,2015,1,011,27,1,ESALQ
0110360,2016,1,011,18,1,ESALQ
0110360,2017,1,011,23,1,ESALQ
0110360,2018,2,011,51,ambos,ESALQ
0110360,2019,2,011,46,ambos,ESALQ
0110360,2020,1,011,5,1,ESALQ
0110444,2016,23,011,33,ambos,ESALQ
0110444,2017,18,011,28,ambos,ESALQ
0110444,2018,19,011,26,ambos,ESALQ
0110444,2019,29,011,35,ambos,ESALQ
0110444,2020,18,011,26,ambos,ESALQ
0110500,2016,1,011,8,2,ESALQ
0110500,2017,1,011,14,2,ESALQ
0110500,2018,1,011,11,2,ESALQ
0110500,2019,1,011,11,2,ESALQ
0110501,2016,65,011,102,ambos,ESALQ
0110501,2017,68,011,121,ambos,ESALQ
0110501,2018,62,011,92,ambos,ESALQ
0110501,2019,48,011,70,ambos,ESALQ
0110501,2020,39,011,59,ambos,ESALQ
0110502,2016,5,011,7,ambos,ESALQ
0110502,2017,2,011,2,2,ESALQ
0110502,2018,4,011,4,1,ESALQ
0110502,2019,8,011,13,ambos,ESALQ
0110502,2020,3,011,4,1,ESALQ
0110601,2012,70,011,135,ambos,ESALQ
0110601,2013,73,011,128,ambos,ESALQ
