coddis	codtur	matr
0060006	2013101	39
0060007	2013202	36
0060008	2013101	33
0060009	2013202	31
0060013	2013101	40
0060013	2013102	40
0060014	2013201	40
0060014	2013202	35
0060015	2013202	26
0060018	2013101	40
0060018	2013102	33
0060019	2013201	40
0060019	2013202	35
0100111	2013101	81
0100111	2013110	81
0100317	2013107	76
0100318	2013201	1
0100318	2013202	1
0100318	2013203	2
0100318	2013204	1
0100318	2013205	2
0100318	2013206	1
0100318	2013207	1
0100318	2013208	1
0100318	2013209	3
0100318	2013210	2
0100318	2013211	3
0100318	2013212	1
0100318	2013213	2
0100318	2013214	1
0100318	2013215	1
0100318	2013216	2
0100318	2013217	1
0100318	2013218	1
0100318	2013219	1
0100318	2013220	3
0100318	2013221	1
0100318	2013222	3
0100318	2013223	1
0100318	2013224	1
0100318	2013225	3
0100318	2013226	2
0100318	2013227	1
0100318	2013228	2
0100318	2013229	2
0100318	2013230	1
0100318	2013231	1
0100318	2013232	2
0100318	2013233	1
0100318	2013234	1
0100318	2013235	2
0100318	2013236	2
0100318	2013237	3
0100318	2013238	3
0100318	2013239	1
0100318	2013240	1
0100318	2013241	1
0100318	2013242	1
0100318	2013243	1
0110113	2013101	103
0110113	2013102	98
0110350	2013101	22
0110360	2013101	25
0110601	2013101	1
0110601	2013102	2
0110601	2013103	1
0110601	2013104	1
0110601	2013105	1
0110601	2013106	4
0110601	2013107	1
0110601	2013108	3
0110601	2013109	1
0110601	2013110	2
0110601	2013111	1
0110601	2013112	2
0110601	2013113	2
0110601	2013114	1
0110601	2013115	1
0110601	2013116	2
0110601	2013117	1
0110601	2013118	1
0110601	2013119	2
0110601	2013120	1
0110601	2013121	1
0110601	2013122	1
0110601	2013123	1
0110601	2013124	1
0110601	2013125	1
0110601	2013201	1
0110601	2013202	1
0110601	2013203	3
0110601	2013204	1
0110601	2013205	3
0110601	2013206	1
0110601	2013207	1
0110601	2013208	5
0110601	2013209	2
0110601	2013210	2
0110601	2013211	1
0110601	2013212	7
0110601	2013214	7
0110601	2013215	2
0110601	2013216	1
0110601	2013217	1
0110601	2013218	2
0110601	2013219	1
0110601	2013220	2
0110601	2013221	2
0110601	2013222	1
0110601	2013223	1
0110601	2013224	1
0110601	2013225	1
0110601	2013226	1
0110601	2013227	2
0110601	2013228	1
0110601	2013229	2
0110601	2013230	1
0110601	2013231	4
0110601	2013232	1
0110601	2013233	7
0110601	2013234	1
0110601	2013235	1
0110601	2013236	1
0110601	2013237	2
0110601	2013238	3
0110601	2013239	1
0110601	2013240	3
0110601	2013241	1
0110601	2013242	1
0110601	2013243	1
0110601	2013244	1
0110601	2013245	1
0110601	2013246	3
0110601	2013247	1
0110601	2013248	1
0110601	2013249	1
0110602	2013101	2
0110602	2013102	1
0110602	2013103	1
0110602	2013104	1
0110602	2013105	1
0110602	2013106	1
0110602	2013107	1
0110602	2013108	1
0110602	2013201	1
0110602	2013202	2
0110602	2013203	1
0110602	2013204	4
0110602	2013205	1
0110602	2013206	1
0110602	2013207	1
0110602	2013208	1
0110603	2013101	1
0110603	2013102	1
0110603	2013201	1
0110603	2013202	1
0110612	2013201	40
0110660	2013101	1
0110660	2013102	1
0110660	2013103	1
0110660	2013104	1
0110660	2013105	1
