coddis	codtur	matr
0060006	2016101	41
0060007	2016201	37
0060008	2016101	27
0060009	2016201	24
0060010	2016101	33
0060011	2016201	34
0060013	2016101	43
0060013	2016102	38
0060014	2016201	44
0060014	2016202	37
0060016	2016101	35
0060017	2016101	26
0060018	2016101	37
0060018	2016102	41
0060019	2016201	41
0060019	2016202	41
0060020	2016101	39
0060020	2016102	40
0060021	2016201	41
0060021	2016202	38
0060023	2016101	37
0060023	2016102	34
0060024	2016201	36
0060024	2016202	33
0060025	2016101	5
0060025	2016201	21
0060026	2016101	4
0060026	2016201	23
0060027	2016101	4
0060027	2016201	22
0060028	2016101	46
0060029	2016201	46
0100111	2016101	79
0100111	2016110	79
0100317	2016101	72
0100318	2016101	2
0100318	2016102	1
0100318	2016103	1
0100318	2016104	1
0100318	2016201	1
0100318	2016202	1
0100318	2016203	1
0100318	2016204	1
0100318	2016205	2
0100318	2016206	2
0100318	2016207	2
0100318	2016208	1
0100318	2016209	1
0100318	2016210	3
0100318	2016211	1
0100318	2016212	1
0100318	2016213	1
0100318	2016214	2
0100318	2016215	2
0100318	2016216	1
0100318	2016218	3
0100318	2016219	1
0100318	2016220	3
0100318	2016221	1
0100318	2016222	2
0100318	2016223	1
0100318	2016224	2
0100318	2016225	3
0100318	2016226	1
0100318	2016227	1
0100318	2016228	1
0100318	2016229	1
0100318	2016230	1
0100318	2016231	2
0100318	2016233	2
0100318	2016234	3
0100318	2016235	1
0100318	2016236	1
0100318	2016237	1
0100318	2016238	3
0100318	2016239	2
0100318	2016240	1
0100318	2016241	2
0100318	2016242	1
0100318	2016243	1
0100318	2016244	2
0100318	2016245	1
0110113	2016101	99
0110113	2016102	106
0110130	2016101	199
0110350	2016101	26
0110360	2016101	18
0110444	2016105	1
0110444	2016106	1
0110444	2016108	1
0110444	2016111	1
0110444	2016113	1
0110444	2016114	1
0110444	2016115	1
0110444	2016117	2
0110444	2016118	1
0110444	2016201	4
0110444	2016202	4
0110444	2016203	1
0110444	2016204	2
0110444	2016205	1
0110444	2016206	1
0110444	2016207	1
0110444	2016208	1
0110444	2016209	1
0110444	2016210	3
0110444	2016211	1
0110444	2016212	1
0110444	2016213	1
0110444	2016214	1
0110500	2016201	8
0110501	2016101	1
0110501	2016102	1
0110501	2016103	1
0110501	2016104	1
0110501	2016105	3
0110501	2016106	1
0110501	2016107	2
0110501	2016108	2
0110501	2016109	2
0110501	2016110	1
0110501	2016111	1
0110501	2016112	1
0110501	2016113	1
0110501	2016114	1
0110501	2016115	1
0110501	2016116	1
0110501	2016117	1
0110501	2016118	2
0110501	2016119	1
0110501	2016120	1
0110501	2016122	1
0110501	2016201	2
0110501	2016202	3
0110501	2016203	3
0110501	2016204	2
0110501	2016205	3
0110501	2016206	1
0110501	2016207	2
0110501	2016208	2
0110501	2016209	3
0110501	2016210	1
0110501	2016211	2
0110501	2016212	2
0110501	2016213	1
0110501	2016214	1
0110501	2016215	2
0110501	2016216	1
0110501	2016217	5
0110501	2016218	4
0110501	2016219	3
0110501	2016220	1
0110501	2016221	1
0110501	2016222	3
0110501	2016223	2
0110501	2016224	1
0110501	2016225	1
0110501	2016226	2
0110501	2016227	2
0110501	2016228	1
0110501	2016229	1
0110501	2016230	2
0110501	2016231	1
0110501	2016232	1
0110501	2016233	1
0110501	2016234	1
0110501	2016235	1
0110501	2016236	1
0110501	2016237	2
0110501	2016238	1
0110501	2016239	1
0110501	2016240	1
0110501	2016241	1
0110501	2016242	1
0110501	2016243	1
0110501	2016244	1
0110502	2016101	2
0110502	2016102	2
0110502	2016201	1
0110502	2016202	1
0110502	2016203	1
0110612	2016201	39
0110660	2016101	1
0110660	2016102	1
0110660	2016103	1
0110660	2016104	1
0110660	2016105	1
0110660	2016201	1
0110660	2016203	3
0110660	2016204	1
0110660	2016205	1
0110660	2016206	1
0110660	2016207	1
0110670	2016201	1
0110670	2016202	1
0110670	2016203	1
0110670	2016204	1
0110680	2016101	2
0110680	2016102	1
0110680	2016201	3
0110680	2016202	1
0110688	2016201	27
0110710	2016201	1
0111000	2016101	2
0111000	2016102	1
0111000	2016103	2
0111000	2016104	1
0111000	2016105	1
0111000	2016106	2
0111000	2016107	1
0111000	2016108	1
0111000	2016109	1
0111000	2016111	2
0111000	2016112	1
0111000	2016113	3
0111000	2016115	1
0111000	2016116	1
0111000	2016117	1
0111000	2016118	2
0111000	2016119	1
0111000	2016120	1
0111000	2016121	2
0111000	2016122	2
0111000	2016123	2
0111000	2016124	1
0111000	2016125	1
0111000	2016126	1
0111000	2016127	1
0111000	2016128	1
0111000	2016129	1
0111000	2016130	1
0111000	2016131	1
0111000	2016132	1
0111000	2016133	1
0111000	2016134	1
0111000	2016135	1
0111000	2016136	3
0111000	2016137	1
0111000	2016138	1
0111000	2016139	1
0111000	2016201	5
0111000	2016202	7
0111000	2016203	1
0111000	2016204	1
0111000	2016205	5
0111000	2016206	4
