coddis	codtur	matr
0060006	2019101	33
0060007	2019201	29
0060008	2019101	28
0060009	2019201	26
0060010	2019101	24
0060011	2019201	24
0060013	2019101	41
0060013	2019102	48
0060014	2019201	44
0060014	2019202	44
0060017	2019101	28
0060018	2019101	40
0060018	2019102	28
0060019	2019201	45
0060019	2019202	30
0060020	2019101	33
0060020	2019102	35
0060021	2019201	34
0060021	2019202	31
0060023	2019101	39
0060023	2019102	36
0060024	2019201	40
0060024	2019202	40
0060025	2019101	9
0060025	2019201	18
0060026	2019101	12
0060026	2019201	18
0060027	2019101	10
0060027	2019201	20
0060028	2019101	79
0060029	2019201	82
0060033	2019201	28
0100101	2019101	75
0100101	2019111	75
0100101	2019211	4
0100101	2019212	4
0100317	2019101	75
0100318	2019101	1
0100318	2019102	1
0100318	2019103	1
0100318	2019104	1
0100318	2019105	1
0100318	2019106	2
0100318	2019107	2
0100318	2019108	3
0100318	2019109	1
0100318	2019110	1
0100318	2019111	1
0100318	2019112	1
0100318	2019113	1
0100318	2019114	1
0100318	2019201	1
0100318	2019202	1
0100318	2019203	2
0100318	2019204	1
0100318	2019205	2
0100318	2019206	1
0100318	2019207	3
0100318	2019208	1
0100318	2019209	2
0100318	2019210	1
0100318	2019211	1
0100318	2019212	1
0100318	2019213	2
0100318	2019214	1
0100318	2019215	3
0100318	2019216	2
0100318	2019217	1
0100318	2019218	1
0100318	2019219	2
0100318	2019220	1
0100318	2019221	1
0100318	2019222	3
0100318	2019223	1
0100318	2019224	3
0100318	2019225	1
0100318	2019226	1
0100318	2019228	2
0100318	2019229	1
0100318	2019230	2
0100318	2019231	3
0100318	2019232	3
0100318	2019233	3
0100318	2019234	1
0100318	2019235	1
0100318	2019239	1
0102201	2019201	80
0110113	2019101	107
0110113	2019102	104
0110130	2019101	112
0110130	2019102	110
0110152	2019201	52
0110152	2019211	51
0110225	2019201	32
0110350	2019101	31
0110360	2019101	8
0110360	2019201	38
0110444	2019101	2
0110444	2019102	1
0110444	2019103	1
0110444	2019104	1
0110444	2019105	1
0110444	2019106	1
0110444	2019107	1
0110444	2019108	1
0110444	2019109	1
0110444	2019110	1
0110444	2019111	1
0110444	2019112	1
0110444	2019201	2
0110444	2019202	1
0110444	2019203	1
0110444	2019204	1
0110444	2019205	2
0110444	2019206	1
0110444	2019207	1
0110444	2019208	1
0110444	2019209	1
0110444	2019210	1
0110444	2019211	1
0110444	2019212	2
0110444	2019213	2
0110444	2019214	2
0110444	2019215	1
0110444	2019216	1
0110444	2019217	1
0110500	2019201	11
0110501	2019102	1
0110501	2019103	2
0110501	2019104	2
0110501	2019105	2
0110501	2019107	1
0110501	2019108	1
0110501	2019109	1
0110501	2019110	1
0110501	2019111	1
0110501	2019112	1
0110501	2019113	1
0110501	2019114	1
0110501	2019115	1
0110501	2019116	1
0110501	2019202	2
0110501	2019203	1
0110501	2019204	1
0110501	2019205	1
0110501	2019206	3
0110501	2019207	1
0110501	2019208	1
0110501	2019209	1
0110501	2019210	3
0110501	2019211	2
0110501	2019212	1
0110501	2019213	1
0110501	2019214	5
0110501	2019215	1
0110501	2019216	3
0110501	2019217	2
0110501	2019218	1
0110501	2019219	1
0110501	2019221	1
0110501	2019222	1
0110501	2019223	3
0110501	2019224	2
0110501	2019225	1
0110501	2019226	2
0110501	2019227	1
0110501	2019228	2
0110501	2019229	1
0110501	2019230	2
0110501	2019231	1
0110501	2019232	1
0110501	2019233	1
0110501	2019234	1
0110501	2019235	1
0110501	2019236	1
0110502	2019101	4
0110502	2019102	3
0110502	2019103	1
0110502	2019104	1
0110502	2019105	1
0110502	2019106	1
0110502	2019201	1
0110502	2019202	1
0110603	2019101	1
0110603	2019102	1
0110603	2019201	1
0110603	2019202	1
0110603	2019203	1
0110605	2019201	1
0110606	2019101	1
0110606	2019201	1
0110612	2019201	55
0110660	2019101	1
0110660	2019102	1
0110660	2019103	2
0110660	2019104	1
0110660	2019105	2
0110660	2019106	1
0110660	2019201	2
0110660	2019202	1
0110660	2019203	2
0110660	2019204	1
0110660	2019205	1
0110660	2019206	2
0110660	2019207	1
0110660	2019208	1
0110660	2019209	1
0110660	2019210	1
0110660	2019211	1
0110660	2019212	1
0110660	2019213	1
0110660	2019214	1
0110660	2019215	1
0110660	2019216	2
0110660	2019217	1
0110670	2019101	1
0110670	2019102	1
0110670	2019103	1
0110670	2019104	1
0110670	2019201	1
0110670	2019202	1
0110680	2019102	1
0110680	2019201	1
0110680	2019202	1
0110688	2019201	23
0110710	2019101	1
0111000	2019101	1
0111000	2019102	1
0111000	2019103	1
0111000	2019104	1
0111000	2019105	1
0111000	2019106	1
0111000	2019109	1
0111000	2019110	1
0111000	2019111	1
0111000	2019112	1
0111000	2019113	1
0111000	2019114	1
0111000	2019117	1
0111000	2019118	1
0111000	2019119	1
0111000	2019121	1
0111000	2019122	1
0111000	2019123	1
0111000	2019124	1
0111000	2019125	1
0111000	2019126	3
0111000	2019127	1
0111000	2019128	2
0111000	2019129	2
0111000	2019130	1
0111000	2019131	2
0111000	2019132	1
0111000	2019133	3
0111000	2019134	2
0111000	2019135	1
0111000	2019136	1
0111000	2019137	1
0111000	2019139	3
0111000	2019201	2
0111000	2019202	2
0111000	2019203	1
0111000	2019204	1
0111000	2019205	2
0111000	2019206	2
0111000	2019207	1
0111000	2019208	2
0111000	2019209	1
0111000	2019210	3
0111000	2019212	2
0111000	2019213	1
0111000	2019214	1
0111000	2019215	1
0111000	2019216	2
0111000	2019217	1
0111000	2019218	1
0111000	2019219	1
0111000	2019220	1
0111000	2019221	8
0111000	2019222	4
0111000	2019223	1
0111000	2019224	1
0111000	2019225	1
0111000	2019226	2
0111000	2019227	2
0111000	2019228	2
0111000	2019229	4
0111000	2019230	2
0111000	2019231	5
0111000	2019232	7
0111000	2019233	1
0111000	2019234	2
0111000	2019236	6
0111000	2019237	4
0111000	2019238	1
0111000	2019239	1
0111000	2019240	6
0111000	2019241	4
0111000	2019242	1
0111000	2019243	1
0111000	2019245	1
0111000	2019246	2
0111000	2019247	1
0111000	2019248	1
0111000	2019249	1
0111000	2019250	1
0111000	2019251	1
0111000	2019252	2
0111000	2019253	1
0111000	2019254	1
0111000	2019255	1
0111000	2019256	1
0111000	2019257	1
0111000	2019258	1
0111000	2019259	1
0111000	2019260	1
0111000	2019261	1
0111000	2019262	1
0111000	2019263	1
0111000	2019264	1
0111100	2019103	1
0111100	2019105	1
0111100	2019110	1
0111100	2019111	5
0111100	2019112	1
0111100	2019113	1
0111100	2019114	1
0111100	2019115	1
0111100	2019116	1
0111100	2019207	1
0111100	2019210	1
0111100	2019212	1
0111100	2019216	1
0111100	2019218	1
0111100	2019219	1
0112000	2019102	2
0112000	2019103	2
0112000	2019104	1
0112000	2019105	1
0112000	2019201	2
0112000	2019202	1
0112000	2019203	2
0112000	2019204	4
