coddis	codtur	matr
0111000	2017263	1
0111000	2017264	1
0111000	2017265	2
0111000	2017266	1
0111000	2017267	1
0111000	2017268	1
0111000	2017269	1
0111000	2017270	1
0111000	2017271	1
0111000	2017272	1
0111000	2017274	1
0111100	2017101	1
0111100	2017103	4
0111100	2017107	5
0111100	2017109	2
0111100	2017110	2
0111100	2017111	3
0111100	2017112	1
0111100	2017113	5
0111100	2017114	9
0111100	2017115	1
0111100	2017117	1
0112000	2017101	1
0112000	2017102	2
0112000	2017103	2
0112000	2017104	1
0112000	2017105	1
0112000	2017107	1
0112000	2017108	1
0112000	2017109	2
0112000	2017111	1
0112000	2017201	2
0112000	2017202	1
0112000	2017203	1
0112000	2017204	1
0112000	2017205	1
0112000	2017206	1
0112000	2017207	1
0112000	2017208	2
0112000	2017209	3
0112000	2017210	1
0112000	2017211	2
0112000	2017213	1
0112000	2017214	1
0112000	2017215	1
0112000	2017216	2
0112100	2017113	1
0112100	2017114	1
0112100	2017115	1
0112100	2017116	1
0112100	2017203	2
0112100	2017206	5
0112100	2017208	2
0112100	2017209	2
0112100	2017210	3
0112100	2017211	1
0112100	2017212	5
0112100	2017213	11
0112100	2017215	2
0112100	2017216	1
0112100	2017217	1
0200101	20171DI	60
0200101	20171NO	74
0200102	20172DI	107
0200102	20172NO	60
0200104	2017160	16
0200104	2017260	492
0200105	20172DI	61
0200109	2017270	32
0200110	2017250	24
0200111	2017250	32
0300001	2017101	132
0300001	2017201	9
0300002	2017101	22
0300002	2017201	127
0303200	2017101	83
0303200	2017102	66
0303200	2017103	80
0303200	2017104	79
0303200	2017105	80
0303200	2017106	78
0303200	2017107	78
0303200	2017108	86
0303200	2017109	68
0303200	2017110	53
0303200	2017111	81
0303200	2017112	67
0303200	2017190	28
0303200	2017201	24
0303200	2017202	34
0303200	2017203	27
0303212	2017101	18
0303410	2017101	74
0303411	2017101	10
0303412	2017101	10
0305000	2017101	19
0305000	2017201	9
0313101	2017101	29
0313101	2017102	47
0313101	2017103	35
0313101	2017104	30
0313102	2017201	49
0313102	2017202	40
0313102	2017203	47
0313102	2017204	44
0313102	2017205	31
0313401	2017101	18
0313401	2017102	17
0313401	2017103	19
0313401	2017201	10
0313401	2017202	17
0323100	2017201	23
0323100	2017202	23
0323100	2017203	24
0323100	2017204	21
0323100	2017205	23
0323100	2017206	27
0323100	2017207	26
0323100	2017208	23
0323113	2017201	66
0410107	2017101	78
0410107	2017102	79
0410107	2017111	78
0410107	2017112	81
0410109	2017101	63
0410109	2017102	58
0410109	2017111	63
0410109	2017112	60
0410113	2017101	64
0410113	2017102	62
0410113	2017111	64
0410113	2017112	64
0410117	2017101	70
0410117	2017102	52
0410301	2017201	11
0410301	2017202	14
0410301	2017211	11
0410301	2017212	14
0410400	2017101	15
0410400	2017111	15
0410401	2017101	3
0410401	2017111	3
0410403	2017102	18
0410405	2017101	36
0410513	2017101	14
0410513	2017102	9
0410513	2017103	12
0410513	2017104	4
0410513	2017105	7
0410513	2017201	11
0410513	2017202	11
0410513	2017203	24
0410513	2017204	9
0410513	2017205	15
0410514	2017201	23
0410514	2017202	44
0410517	2017101	33
0410517	2017102	52
0411200	2017101	22
0411200	2017102	37
0411200	2017201	4
0411200	2017202	13
0411206	2017201	61
0411206	2017202	59
0420102	2017101	1
0420103	2017201	1
0420104	2017101	1
0420107	2017101	45
0420109	2017101	33
0420110	2017201	34
0420110	2017211	34
0420111	2017101	33
0420113	2017201	26
0420113	2017202	8
0420114	2017101	18
0420114	2017102	3
0420114	2017103	7
0420115	2017201	7
0420116	2017201	35
0420117	2017101	1
0420117	2017201	21
0420117	2017202	6
0420117	2017203	4
0420118	2017101	37
0420118	2017111	37
0420118	2017201	2
0420118	2017211	2
0420119	2017101	40
0420119	2017201	8
0420120	2017101	4
0420120	2017201	37
0420121	2017101	8
0420121	2017201	40
0420122	2017201	2
0420127	2017101	90
0420127	2017111	30
0420127	2017112	30
0420127	2017113	30
0420128	2017201	85
0420129	2017101	95
0420129	2017111	96
0420130	2017201	79
0420131	2017101	72
0420200	2017101	3
0420300	2017101	5
0440001	2017210	20
0440001	2017211	20
0440002	2017110	13
0440002	2017111	14
0440100	2017110	55
0440100	2017111	56
0440102	2017110	47
0440107	2017110	38
0440107	2017111	39
0440108	2017210	29
0440108	2017211	29
0440201	2017110	24
0440201	2017111	24
0440208	2017110	29
0440208	2017111	29
0440208	2017120	27
0440208	2017121	27
0440220	2017110	58
0440220	2017111	61
0440221	2017110	58
0440221	2017111	30
0440221	2017112	31
0440222	2017210	50
0440222	2017211	50
0440318	2017110	25
0440318	2017111	25
0440319	2017110	41
0440319	2017111	42
0440320	2017210	40
0440320	2017211	40
0440335	2017110	2
0440407	2017110	12
0440413	2017110	14
0440415	2017110	44
0440415	2017111	44
0440416	2017210	37
0440416	2017211	37
0440418	2017210	27
0440418	2017211	27
0440420	2017110	46
0440420	2017111	46
0440494	2017210	9
0440500	2017110	51
0440500	2017111	51
0440610	2017210	28
0440620	2017110	35
0440620	2017111	38
0440620	2017120	39
0440620	2017121	39
0440620	2017130	44
0440620	2017131	44
0440620	2017210	22
0440620	2017211	23
0440620	2017220	48
0440620	2017221	48
0440620	2017230	23
0440620	2017231	23
0440620	2017240	50
0440620	2017241	50
0440620	2017250	45
0440620	2017251	45
0440621	2017110	69
0440621	2017111	69
0440621	2017130	57
0440621	2017131	57
0500058	2017202	22
0500059	2017101	26
0510044	20171TA	88
0510044	20172TB	94
0510205	2017107	16
0510205	2017108	16
0510205	2017109	16
0510205	2017110	16
0510205	2017111	16
0510205	2017112	16
0510205	2017201	16
0510205	2017202	15
0510205	2017203	16
0510205	2017204	16
0510205	2017205	18
0510205	2017206	14
0510207	2017113	170
0510207	2017214	11
0510221	2017107	16
0510221	2017108	16
0510221	2017109	15
0510221	2017110	17
0510221	2017111	15
0510221	2017112	14
0510221	2017201	16
0510221	2017202	15
0510221	2017203	15
0510221	2017204	16
0510221	2017205	17
0510221	2017206	13
0510222	2017101	13
0510222	2017102	13
0510222	2017103	14
0510222	2017104	12
0510222	2017105	15
0510222	2017106	12
0510222	2017207	13
0510222	2017208	15
0510222	2017209	16
0510222	2017210	16
0510222	2017211	13
0510222	2017212	14
0510228	20171TB	97
0510228	20172TA	89
0510238	20171B1	48
0510238	20171B2	50
0510238	20172A1	44
0510238	20172A2	43
0701201	2017101	84
0701202	2017101	85
0701202	2017111	87
0701203	2017201	77
0701204	2017101	76
0701204	2017111	76
0701205	2017101	78
0701205	2017111	78
0701206	2017201	76
0701206	2017211	76
0701207	2017201	73
0701208	2017101	86
0701209	2017201	32
0701209	2017202	30
0701210	2017201	32
0701210	2017202	31
0701251	2017101	12
0701255	2017201	27
0701255	2017211	27
0740011	2017109	21
0740011	2017209	11
0740013	2017107	13
0740013	2017208	19
0740014	2017208	17
0740015	2017103	32
0740015	2017203	16
0740016	2017104	7
0740016	2017204	33
0740017	2017105	26
0740017	2017205	9
0740018	2017106	8
0740018	2017206	23
0740019	2017107	22
0740019	2017207	9
0740020	2017108	15
0740020	2017208	15
0740021	2017208	25
0740022	2017109	43
0740022	2017207	14
0800004	2017201	7
0800004	2017202	9
0800004	2017203	32
0800004	2017211	32
0800004	2017212	24
0800004	2017213	10
0800004	2017214	26
0800004	2017221	22
0800004	2017224	27
0800004	2017231	44
0800004	2017234	27
0800005	2017203	16
0800005	2017204	20
0800006	2017201	12
0800006	2017204	16
0800007	2017202	15
0800008	2017201	9
0800008	2017204	21
0800009	2017201	10
0800009	2017202	8
0808000	2017102	50
0808001	2017202	61
0900100	2017101	75
0900100	2017102	76
0900102	2017101	68
0900102	2017102	48
0900110	2017201	97
0900112	2017101	75
0900112	2017102	75
0900113	2017101	75
0900113	2017102	75
0900115	2017201	43
0900180	2017101	107
0900180	2017201	88
0900720	2017101	64
0900720	2017201	66
0909012	2017101	56
0909012	2017201	91
1203301	2017111	48
1203301	2017211	64
1203302	2017111	42
1203302	2017211	66
1203303	2017111	35
1203303	2017211	71
1203304	2017111	16
1203304	2017211	69
1400100	2017134	18
1400110	2017204	25
1601101	2017101	110
1601101	2017201	66
1601102	2017101	83
1601102	2017201	102
1601103	2017201	16
1601103	2017202	18
1601105	2017201	13
1601105	2017202	14
1601105	2017203	8
1601107	2017201	14
1601112	2017101	57
1601112	2017102	37
1601112	2017201	25
1601112	2017202	16
1601112	2017203	33
1601112	2017204	9
1601112	2017205	14
1601113	2017101	9
1601113	2017201	5
1610041	2017201	5
1610041	2017202	8
1610042	2017101	19
1610042	2017102	7
1610042	2017103	4
1610042	2017104	2
1610042	2017201	6
1610042	2017202	2
1610042	2017203	2
1610042	2017204	1
1610044	2017101	11
1610044	2017102	7
1610044	2017103	1
1610044	2017104	2
1610044	2017105	1
1610044	2017201	16
1610044	2017202	4
1610044	2017203	7
1610044	2017204	3
1610044	2017205	3
1800040	2017101	77
1800040	2017201	97
1800043	2017101	36
1800043	2017201	51
1800078	2017101	23
1800078	2017201	39
1800080	2017101	1
1800080	2017102	3
1800080	2017104	3
1800080	2017106	1
1800080	2017107	1
1800080	2017108	1
1800080	2017110	8
1800080	2017112	2
1800080	2017113	4
1800080	2017115	5
1800080	2017116	3
1800080	2017118	2
1800080	2017123	1
1800080	2017204	1
1800080	2017207	1
1800080	2017210	2
1800080	2017212	2
1800080	2017213	1
1800080	2017215	2
1800080	2017218	2
1800080	2017222	1
1800080	2017225	1
1800081	2017104	2
1800081	2017105	1
1800081	2017106	1
1800081	2017108	1
1800081	2017110	1
1800081	2017112	1
1800081	2017113	2
1800081	2017121	3
1800081	2017123	1
1800081	2017201	2
1800081	2017202	3
1800081	2017204	2
1800081	2017206	2
1800081	2017207	2
1800081	2017210	8
1800081	2017212	2
1800081	2017213	3
1800081	2017215	8
1800081	2017216	3
1800081	2017217	1
1800081	2017218	3
1800081	2017220	1
1800081	2017222	1
1800081	2017225	2
1800082	2017201	42
1800090	2017101	12
1800090	2017201	32
1800091	2017101	39
1800091	2017201	5
1800093	2017101	23
1800093	2017102	6
1800093	2017103	15
1800093	2017104	10
1800093	2017105	3
1800093	2017201	7
1800093	2017202	3
1800093	2017203	1
1800093	2017204	2
1800093	2017205	2
1800094	2017101	4
1800094	2017102	4
1800094	2017103	3
1800094	2017104	5
1800094	2017105	2
1800094	2017201	22
1800094	2017202	16
1800094	2017203	9
1800094	2017204	11
1800094	2017205	2
1800100	2017101	9
1800100	2017102	26
1800100	2017103	6
1800100	2017201	46
1800100	2017202	2
1800101	2017101	27
1800101	2017102	17
1800101	2017201	10
1800101	2017202	5
1800102	2017101	11
1800102	2017102	17
1800102	2017103	1
1800102	2017201	17
1800103	2017101	6
1800103	2017102	6
1800103	2017201	4
1800104	2017101	15
1800104	2017201	6
1800105	2017201	15
1800107	2017101	65
1800108	2017101	23
1800108	2017201	12
1800111	2017101	1
1800116	2017201	20
1800116	2017202	18
1800117	2017201	66
1800300	2017201	52
1800314	2017101	46
1800318	2017101	9
1800318	2017201	9
2100101	2017101	41
2100101	2017102	42
2100102	2017201	35
2100102	2017202	36
2100104	2017101	19
2100104	2017102	5
2100104	2017201	5
2100105	2017101	4
2100105	2017201	24
2100106	2017201	69
2100108	2017201	29
2100109	2017101	4
2100114	2017101	33
2100114	2017102	33
2100115	2017101	36
2100115	2017102	36
2100116	2017201	36
2200003	2017101	46
2200006	2017101	50
2200009	2017101	49
2200018	2017101	43
2200041	2017101	35
2200083	2017101	44
2200083	2017202	39
2200086	2017102	40
2200086	2017201	41
2200087	2017101	24
2200087	2017201	61
2200090	2017101	21
2200090	2017201	26
2200093	20171B1	42
2200093	20171B2	46
2200094	2017101	25
2200094	2017201	17
2200095	2017102	23
2200095	2017201	24
2200096	2017102	23
2200096	2017201	24
2200097	2017201	51
2200098	2017201	51
2200105	2017101	101
2200112	2017101	24
2200112	2017202	21
2200113	2017101	24
2200113	2017202	21
2200114	2017101	80
2200115	2017101	78
2200116	2017201	26
2200116	2017202	20
2200200	2017201	76
2200300	2017101	39
2300012	20171OD	3
2300012	20171ON	1
2300012	20172OD	1
2300015	20172OD	86
2300015	20172ON	48
2300016	2017201	107
2300023	201710D	85
2300023	20172ON	38
2300024	20171OP	40
2500010	2017101	33
2500019	2017101	23
2500019	2017201	14
2500020	2017101	23
2500020	2017201	14
2500022	2017201	48
2500024	2017201	49
2500024	2017202	49
2500026	2017101	46
2500026	2017102	46
2500027	2017101	25
2500027	2017102	25
2500027	2017201	22
2500027	2017202	22
2500028	2017201	46
2500028	2017202	46
2500029	2017201	46
2500030	2017201	46
2500031	2017201	20
2500032	2017101	6
2700600	2017203	16
3900003	2017101	50
3900003	2017102	50
3900004	2017201	56
3900004	2017202	28
3900005	2017101	40
3900005	2017102	48
4300151	2017101	51
4300151	2017102	66
4300151	2017220	38
4300152	2017101	19
4300152	2017102	13
4300152	2017103	14
4300152	2017105	12
4300152	2017111	17
4300152	2017113	17
4300152	2017115	16
4300152	2017122	13
4300152	2017124	16
4300152	2017126	14
4300152	2017142	13
4300152	2017144	10
4300152	2017145	20
4300152	2017146	15
4300152	2017147	21
4300152	2017148	16
4300152	2017149	12
4300152	2017210	19
4300152	2017213	18
4300152	2017215	16
4300152	2017220	17
4300152	2017222	16
4300153	2017201	51
4300153	2017202	60
4300156	2017201	62
4300156	2017202	62
4300156	2017242	43
4300156	2017247	58
4300156	2017248	67
4300159	2017142	57
4300159	2017147	71
4300159	2017201	43
4300159	2017202	43
4300160	2017101	54
4300160	2017102	44
4300160	2017142	59
4300160	2017147	71
4300160	2017148	65
4300206	2017201	108
4300206	2017202	160
4300223	2017102	50
4300225	2017201	85
4300228	2017201	22
4300228	2017202	41
4300254	2017101	23
4300254	2017102	22
4300254	2017103	13
4300254	2017104	13
4300255	2017101	33
4300255	2017102	36
4300259	2017101	26
4300259	2017102	57
4300266	2017201	25
4300270	2017101	40
4300270	2017102	55
4300270	2017110	35
4300270	2017242	29
4300270	2017247	72
4300271	2017201	20
4300271	2017202	46
4300304	2017101	21
4300304	2017102	7
4300307	2017102	46
4300308	2017101	20
4300308	2017102	41
4300314	2017101	7
4300314	2017102	6
4300320	2017202	17
4300322	2017201	15
4300324	2017102	37
4300325	2017102	38
4300326	2017101	24
4300346	2017202	33
4300353	2017101	31
4300353	2017102	28
4300356	2017101	50
4300356	2017102	43
4300357	2017201	31
4300357	2017202	39
4300357	2017210	29
4300358	2017201	33
4300358	2017202	37
4300372	2017101	22
4300372	2017102	66
4300373	2017201	13
4300373	2017202	17
4300374	2017101	27
4300374	2017102	65
4300375	2017102	25
4300375	2017201	26
4300376	2017101	48
4300376	2017202	32
4300377	2017101	25
4300377	2017102	17
4300380	2017201	35
4300380	2017202	36
4300390	2017101	27
4300390	2017102	29
4300402	2017101	27
4300403	2017102	38
4300404	2017101	14
4300404	2017202	23
4300405	2017101	44
4300405	2017102	34
4300406	2017101	42
4300422	2017101	17
4300427	2017102	13
4300436	2017201	19
4300437	2017102	21
4300438	2017202	8
4300454	2017201	24
4300454	2017202	60
4300456	2017101	24
4300456	2017102	22
4300458	2017201	24
4300458	2017202	42
4300461	2017101	17
4300462	2017201	6
4300490	2017101	20
4300490	2017102	11
4300491	2017101	19
4300491	2017102	14
4300491	2017201	3
4300491	2017202	6
4302111	2017101	67
4302111	2017102	57
4302111	2017103	64
4302111	2017104	58
4302111	2017201	54
4302111	2017211	48
4302112	2017101	56
4302112	2017111	34
4302112	2017201	61
4302112	2017202	49
4302112	2017203	50
4302112	2017204	41
4302113	2017101	16
4302113	2017102	17
4302113	2017103	19
4302113	2017104	18
4302113	2017105	15
4302113	2017111	20
4302113	2017113	17
4302113	2017122	17
4302113	2017124	17
4302113	2017131	20
4302113	2017133	18
4302113	2017142	17
4302113	2017144	13
4302113	2017151	16
4302114	2017201	19
4302114	2017202	18
4302114	2017203	19
4302114	2017204	20
4302114	2017205	18
4302114	2017211	18
4302114	2017213	16
4302114	2017222	11
4302114	2017231	18
4302114	2017233	17
4302114	2017242	17
4302114	2017251	15
4302204	2017102	88
4302204	2017201	81
4302211	2017101	83
4302211	2017102	82
4302211	2017103	70
4302211	2017201	30
4302212	2017101	30
4302212	2017201	81
4302212	2017202	65
4302212	2017203	47
4302213	2017101	119
4302213	2017102	52
4302214	2017201	34
4302214	2017202	21
4302214	2017211	29
4302214	2017222	18
4302303	2017201	49
4302303	2017202	85
4302305	2017101	68
4302305	2017202	89
4302306	2017201	39
4302311	2017101	76
4302311	2017202	56
4302313	2017101	68
4302313	2017102	33
4302314	2017201	13
4302314	2017202	6
4302401	2017102	109
4302401	2017201	101
4302403	2017201	60
4305001	2017101	3
4305001	2017201	8
4305002	2017201	2
4305006	2017201	4
4305103	2017101	1
4305107	2017101	2
4305110	2017201	4
4305113	2017113	2
4305300	2017201	2
4305828	2017201	1
4310126	2017211	30
4310137	2017111	29
4310145	2017120	59
4310145	2017210	74
4310181	2017101	80
4310181	2017102	75
4310190	2017102	89
4310190	2017201	89
4310192	2017201	52
4310232	2017242	33
4310232	2017248	56
4310245	2017110	78
4310245	2017220	85
4310250	2017120	56
4310250	2017210	46
4310256	2017110	76
4310256	2017120	52
4323101	2017101	77
4323101	2017102	79
4323101	2017103	77
4323101	2017104	77
4323101	2017105	69
4323101	2017106	62
4323101	2017107	76
4323101	2017108	75
4323101	2017109	72
4323101	2017110	66
4323101	2017111	69
4323101	2017112	75
4323101	2017113	90
