coddis	codtur	matr
0060006	2018101	38
0060007	2018201	32
0060008	2018101	24
0060009	2018201	25
0060010	2018101	28
0060011	2018201	34
0060013	2018101	42
0060013	2018102	40
0060014	2018201	41
0060014	2018202	37
0060017	2018101	19
0060018	2018101	39
0060018	2018102	32
0060019	2018201	38
0060019	2018202	33
0060020	2018101	42
0060020	2018102	35
0060021	2018201	42
0060021	2018202	36
0060023	2018101	42
0060023	2018102	42
0060024	2018201	34
0060024	2018202	39
0060025	2018101	13
0060025	2018201	8
0060026	2018101	15
0060026	2018201	5
0060027	2018101	15
0060027	2018201	7
0060028	2018101	73
0060029	2018201	74
0100101	2018101	79
0100101	2018111	81
0100317	2018101	67
0100318	2018101	1
0100318	2018102	2
0100318	2018103	1
0100318	2018104	1
0100318	2018105	2
0100318	2018106	1
0100318	2018108	1
0100318	2018109	1
0100318	2018110	1
0100318	2018111	1
0100318	2018201	1
0100318	2018202	1
0100318	2018203	1
0100318	2018204	1
0100318	2018205	1
0100318	2018206	2
0100318	2018207	3
0100318	2018208	1
0100318	2018209	1
0100318	2018210	1
0100318	2018211	1
0100318	2018212	2
0100318	2018213	1
0100318	2018214	2
0100318	2018215	1
0100318	2018216	1
0100318	2018217	1
0100318	2018218	1
0100318	2018219	2
0100318	2018220	1
0100318	2018221	3
0100318	2018222	1
0100318	2018223	1
0100318	2018224	1
0100318	2018225	2
0100318	2018226	2
0100318	2018227	3
0100318	2018228	2
0100318	2018229	2
0100318	2018230	1
0100318	2018231	2
0100318	2018232	1
0100318	2018233	2
0100318	2018234	1
0100318	2018235	1
0100318	2018236	1
0100318	2018237	1
0100318	2018238	3
0100318	2018239	3
0100318	2018240	1
0100318	2018241	1
0102201	2018202	94
0110113	2018101	113
0110113	2018102	102
0110130	2018101	108
0110130	2018102	100
0110152	2018201	11
0110152	2018211	11
0110225	2018201	8
0110350	2018101	18
0110360	2018101	21
0110360	2018201	30
0110444	2018101	2
0110444	2018102	1
0110444	2018103	1
0110444	2018104	3
0110444	2018105	1
0110444	2018106	1
0110444	2018201	3
0110444	2018202	1
0110444	2018203	1
0110444	2018204	2
0110444	2018205	1
0110444	2018206	2
0110444	2018207	1
0110444	2018209	1
0110444	2018210	1
0110444	2018211	1
0110444	2018212	1
0110444	2018213	1
0110444	2018214	1
0110500	2018201	11
0110501	2018101	1
0110501	2018102	1
0110501	2018103	2
0110501	2018104	1
0110501	2018105	1
0110501	2018106	1
0110501	2018107	2
0110501	2018108	1
0110501	2018109	1
0110501	2018110	2
0110501	2018111	1
0110501	2018112	1
0110501	2018113	1
0110501	2018114	1
0110501	2018115	2
0110501	2018116	1
0110501	2018117	1
0110501	2018118	1
0110501	2018201	7
0110501	2018202	1
0110501	2018203	1
0110501	2018204	2
0110501	2018205	2
0110501	2018206	1
0110501	2018207	4
0110501	2018208	1
0110501	2018209	1
0110501	2018210	1
0110501	2018211	1
0110501	2018212	1
0110501	2018213	1
0110501	2018214	8
0110501	2018215	2
0110501	2018216	6
0110501	2018217	1
0110501	2018218	1
0110501	2018219	1
0110501	2018220	1
0110501	2018221	1
0110501	2018222	1
0110501	2018223	1
0110501	2018224	1
0110501	2018225	1
0110501	2018226	2
0110501	2018227	1
0110501	2018228	1
0110501	2018229	1
0110501	2018230	1
0110501	2018231	1
0110501	2018232	1
0110501	2018233	1
0110501	2018234	1
0110501	2018235	1
0110501	2018236	1
0110501	2018238	1
0110501	2018239	2
0110501	2018241	1
0110501	2018242	1
0110501	2018243	1
0110501	2018244	1
0110501	2018245	1
0110501	2018246	1
0110502	2018101	1
0110502	2018102	1
