coddis	codtur	matr
0060006	2012101	40
0060007	2012202	35
0060013	2012101	38
0060013	2012102	40
0060014	2012201	40
0060014	2012202	36
0100111	2012101	80
0100111	2012110	79
0100317	2012107	66
0100318	2012201	3
0100318	2012202	1
0100318	2012203	1
0100318	2012204	1
0100318	2012205	2
0100318	2012206	1
0100318	2012207	2
0100318	2012208	1
0100318	2012209	1
0100318	2012210	2
0100318	2012211	1
0100318	2012212	1
0100318	2012213	3
0100318	2012214	1
0100318	2012215	1
0100318	2012216	3
0100318	2012217	1
0100318	2012218	1
0100318	2012219	1
0100318	2012220	1
0100318	2012221	2
0100318	2012222	1
0100318	2012223	1
0100318	2012224	1
0100318	2012225	2
0100318	2012226	3
0100318	2012227	3
0100318	2012228	3
0100318	2012229	2
0100318	2012230	1
0100318	2012231	2
0100318	2012232	1
0100318	2012233	2
0100318	2012235	1
0100318	2012236	3
0100318	2012237	2
0100318	2012238	3
0100318	2012239	1
0100318	2012240	3
0100318	2012241	2
0100318	2012243	3
0100318	2012244	3
0100318	2012245	2
0110113	2012101	102
0110113	2012102	99
0110350	2012101	26
0110360	2012101	32
0110601	2012101	1
0110601	2012102	3
0110601	2012104	1
0110601	2012105	1
0110601	2012106	3
0110601	2012107	1
0110601	2012108	1
0110601	2012109	1
0110601	2012110	1
0110601	2012111	1
0110601	2012112	1
0110601	2012113	1
0110601	2012114	1
0110601	2012115	2
0110601	2012201	1
0110601	2012202	2
0110601	2012203	1
0110601	2012204	2
0110601	2012205	3
0110601	2012206	3
0110601	2012207	2
0110601	2012208	1
0110601	2012209	1
0110601	2012210	1
0110601	2012211	2
0110601	2012212	2
0110601	2012213	1
0110601	2012214	1
0110601	2012215	1
0110601	2012216	2
0110601	2012217	1
0110601	2012218	1
0110601	2012219	7
0110601	2012220	3
0110601	2012221	1
0110601	2012222	10
0110601	2012223	1
0110601	2012224	2
0110601	2012225	2
0110601	2012226	2
0110601	2012227	1
0110601	2012228	3
0110601	2012229	3
0110601	2012230	2
0110601	2012231	2
0110601	2012232	1
0110601	2012234	2
0110601	2012235	1
0110601	2012236	4
0110601	2012237	1
0110601	2012238	11
0110601	2012239	3
0110601	2012240	4
0110601	2012241	3
0110601	2012242	2
0110601	2012243	1
0110601	2012244	1
0110601	2012245	2
0110601	2012246	1
0110601	2012247	1
0110601	2012248	1
0110601	2012249	1
0110601	2012250	1
0110601	2012251	1
0110601	2012252	2
0110601	2012253	1
0110601	2012254	1
0110601	2012255	1
0110601	2012256	1
0110601	2012257	1
0110602	2012101	4
0110602	2012102	1
0110602	2012103	2
0110602	2012104	1
0110602	2012105	1
0110602	2012106	1
0110602	2012201	2
0110602	2012202	1
0110602	2012203	1
0110602	2012204	1
0110603	2012201	1
0110603	2012202	1
0110612	2012201	52
0110660	2012101	2
0110660	2012103	1
0110660	2012104	1
0110660	2012105	1
0110660	2012106	1
0110660	2012107	1
0110660	2012108	1
0110660	2012109	1
0110660	2012201	1
0110660	2012202	2
0110660	2012203	1
0110660	2012205	1
0110660	2012206	1
0110660	2012207	1
0110660	2012208	3
0110660	2012209	1
0110660	2012210	2
0110660	2012211	1
0110660	2012212	1
0110660	2012213	1
0110660	2012214	1
0110660	2012215	1
0110660	2012216	1
0110660	2012217	1
0110660	2012218	1
0110660	2012219	1
0110660	2012220	1
0110660	2012221	1
0110660	2012222	1
0110660	2012223	1
0110660	2012224	1
0110660	2012225	1
0110670	2012201	1
0110670	2012202	1
0110670	2012203	1
0110670	2012205	1
0110670	2012206	1
0110670	2012207	1
0110670	2012208	1
0110680	2012101	1
0110680	2012102	2
0110680	2012103	1
0110680	2012201	1
0110680	2012202	1
0110680	2012203	1
0110680	2012204	1
0110688	2012201	32
0110690	2012201	1
0110690	2012202	2
0110700	2012101	1
0110700	2012201	1
0110710	2012101	1
0110710	2012201	1
0110710	2012202	1
0111000	2012101	1
0111000	2012102	2
0111000	2012103	2
0111000	2012104	2
0111000	2012105	1
0111000	2012106	1
0111000	2012107	1
0111000	2012108	1
0111000	2012109	1
0111000	2012110	1
0111000	2012111	1
0111000	2012112	1
0111000	2012113	3
0111000	2012114	2
0111000	2012115	2
0111000	2012117	1
0111000	2012118	2
0111000	2012119	1
0111000	2012120	2
0111000	2012121	1
0111000	2012122	1
0111000	2012123	1
0111000	2012124	4
0111000	2012125	1
0111000	2012126	2
0111000	2012201	8
0111000	2012202	6
0111000	2012203	1
0111000	2012204	1
0111000	2012205	2
0111000	2012206	2
0111000	2012207	1
0111000	2012208	1
0111000	2012209	2
0111000	2012210	3
0111000	2012211	5
0111000	2012212	1
0111000	2012213	1
0111000	2012214	3
0111000	2012215	7
0111000	2012216	1
0111000	2012217	2
0111000	2012218	1
0111000	2012219	1
0111000	2012220	2
0111000	2012221	2
0111000	2012222	2
0111000	2012223	3
0111000	2012224	2
0111000	2012225	1
0111000	2012226	2
0111000	2012227	2
0111000	2012228	7
0111000	2012229	3
0111000	2012230	1
0111000	2012231	1
0111000	2012232	1
0111000	2012233	1
0111000	2012234	2
0111000	2012235	1
0111000	2012236	6
0111000	2012237	2
0111000	2012238	4
0111000	2012239	2
0111000	2012240	1
0111000	2012241	1
0111000	2012242	2
0111000	2012243	1
0111000	2012244	2
0111000	2012245	1
0111000	2012246	1
0111000	2012247	1
0111000	2012248	1
0111000	2012249	1
0111000	2012250	1
0111000	2012251	1
0111000	2012252	2
0111000	2012253	1
0111000	2012254	1
0111000	2012255	1
0111000	2012256	9
0111000	2012257	1
0111000	2012258	7
0111000	2012259	1
0111000	2012260	1
0111000	2012261	1
0111000	2012262	1
0111000	2012263	1
0111000	2012264	1
0111000	2012265	1
0111000	2012266	1
0111000	2012267	1
0111000	2012268	1
0111000	2012269	1
0111000	2012270	1
0111000	2012271	1
0112000	2012102	1
0112000	2012103	1
0112000	2012104	1
0112000	2012105	1
0112000	2012106	1
0112000	2012107	2
0112000	2012201	1
0112000	2012202	3
0112000	2012203	2
0112000	2012204	1
0112000	2012205	2
0112000	2012207	2
0112000	2012208	1
0112000	2012209	1
0112000	2012210	1
0112000	2012211	2
0112000	2012212	1
0112000	2012213	1
0112000	2012214	1
0112000	2012215	1
0200101	2012152	92
0200101	2012154	29
0200102	2012152	106
0200102	2012154	51
0200103	2012252	36
0200103	2012254	143
0200104	2012260	433
0300001	2012103	144
0300001	2012201	39
0300002	2012101	32
0300002	2012201	133
0300021	2012101	79
0410107	2012101	27
0410107	2012102	20
0410107	2012103	22
0410107	2012104	22
0410107	2012105	23
0410107	2012106	27
0410107	2012111	22
0410107	2012112	20
0410107	2012113	22
0410107	2012114	22
0410107	2012115	20
0410107	2012116	26
0410109	2012101	19
0410109	2012102	14
0410109	2012103	16
0410109	2012104	16
0410109	2012105	14
0410109	2012106	6
0410109	2012107	11
0410109	2012108	17
0410109	2012110	8
0410109	2012111	19
0410109	2012112	14
0410109	2012113	16
0410109	2012114	16
0410109	2012115	14
0410109	2012116	6
0410109	2012117	11
0410109	2012118	17
0410109	2012120	8
0410111	2012101	3
0410111	2012102	7
0410111	2012103	2
0410111	2012104	2
0410111	2012105	2
0410111	2012106	4
0410113	2012101	21
0410113	2012102	13
0410113	2012103	18
0410113	2012104	19
0410113	2012105	18
0410113	2012106	14
0410113	2012107	6
0410113	2012108	19
0410113	2012111	20
0410113	2012112	13
0410113	2012113	18
0410113	2012114	19
0410113	2012115	18
0410113	2012116	14
0410113	2012117	6
0410113	2012118	19
0410301	2012201	19
0410301	2012202	6
0410301	2012211	18
0410301	2012212	6
0410400	2012101	6
0410400	2012103	5
0410400	2012105	5
0410400	2012111	6
0410400	2012113	5
0410400	2012115	5
0410402	2012102	14
0410511	2012101	3
0410511	2012102	2
0410511	2012103	1
0410511	2012104	1
0410511	2012105	1
0410511	2012201	4
0410511	2012204	2
0410513	2012101	23
0410513	2012102	9
0410513	2012103	5
0410513	2012104	5
0410513	2012105	8
0410513	2012201	16
0410513	2012202	11
0410513	2012203	8
0410513	2012204	4
0410513	2012205	5
0410515	2012201	32
0410515	2012202	21
0411201	2012101	67
0411202	2012201	32
0411202	2012202	23
0411203	2012101	66
0411204	2012201	40
0411204	2012202	22
0411206	2012201	21
0411206	2012202	22
0411206	2012203	22
0411206	2012204	17
0411206	2012205	21
0411206	2012206	20
0420100	2012201	80
0420102	2012101	5
0420103	2012201	4
0420104	2012101	1
0420107	2012101	37
0420107	2012111	37
0420108	2012201	34
0420108	2012211	34
0420124	2012101	37
0420124	2012111	34
0420125	2012201	37
0420125	2012211	37
0420127	2012101	82
