id	codclg	sglclg	codund
1800	64	CEUA	64
1801	25	CGen	53
1802	3	CCPc	3
1803	5	CCPc	5
1804	6	CCPc	6
1805	8	CCPc	8
1806	9	CCPc	9
1807	10	CCPc	10
1808	11	CCPc	11
1809	12	CCPc	12
1810	14	CCPc	14
1811	16	CCPc	16
1812	17	CCPc	17
1813	18	CCPc	18
1814	21	CCPc	21
1815	22	CCPc	22
1816	23	CCPc	23
1817	25	CCPc	25
1818	27	CCPc	27
1819	31	CCPc	31
1820	38	CCPc	38
1821	39	CCPc	39
1822	41	CCPc	41
1823	42	CCPc	42
1824	43	CCPc	43
1825	44	CCPc	44
1826	45	CCPc	45
1827	46	CCPc	46
1828	47	CCPc	47
1829	48	CCPc	48
1830	51	CCPc	51
1831	58	CCPc	58
1832	59	CCPc	59
1833	60	CCPc	60
1834	61	CCPc	61
1835	64	CCPc	64
1836	71	CCPc	71
1837	74	CCPc	74
1838	75	CCPc	75
1839	76	CCPc	76
1840	81	CCPc	43
1841	82	CCPc	18
1842	83	CCPc	22
1843	84	CCPc	1
1844	86	CCPc	4
1845	87	CCPc	42
1846	88	CCPc	76
1847	90	CCPc	4
1848	91	CCPc	11
1849	93	CCPc	32
1850	94	CCPc	85
1851	95	CCPc	45
1852	96	CCPc	81
1853	97	CCPc	88
1854	98	CCPc	127
1855	99	CCPc	83
1856	100	CCPc	86
1857	101	CCPc	87
1858	102	CCPc	93
1859	103	CCPc	71
1860	104	CCPc	55
1861	105	CCPc	11
1862	106	CCPc	4
1863	107	CCPc	89
1864	108	CCPc	23
1865	109	CCPc	90
1866	24	CGen	84
1867	5	CoDeptoc	5
1868	33	CoDeptoc	33
1869	6	NAP	5
1870	38	NAP	45
1871	80	NAP	5
1872	83	NAP	8
1873	93	NAP	5
1874	94	NAP	46
1875	98	NAP	14
1876	102	NAP	44
1877	103	NAP	5
1878	110	NAP	7
1879	112	NAP	3
1880	113	NAP	9
1881	118	NAP	17
1882	125	NAP	39
1883	135	NAP	39
1884	136	NAP	3
1885	141	NAP	55
1886	142	NAP	27
1887	143	NAP	58
1888	147	NAP	44
1889	148	NAP	3
1890	149	NAP	42
1891	153	NAP	3
1892	155	NAP	46
1893	158	NAP	17
1894	161	NAP	47
1895	162	NAP	39
1896	166	NAP	8
1897	170	NAP	3
1898	172	NAP	89
1899	173	NAP	11
1900	174	NAP	27
1901	175	NAP	11
1902	177	NAP	18
1903	179	NAP	43
1904	181	NAP	17
1905	185	NAP	58
1906	186	NAP	17
1907	198	NAP	18
1908	230	NAP	17
1909	239	NAP	21
1910	241	NAP	21
1911	245	NAP	3
1912	247	NAP	48
1913	249	NAP	5
1914	251	NAP	9
1915	254	NAP	12
1916	257	NAP	8
1917	260	NAP	27
1918	264	NAP	3
1919	269	NAP	59
1920	271	NAP	58
1921	273	NAP	9
1922	276	NAP	3
1923	277	NAP	16
1924	1	CP	1
1925	108	CPG	47
1926	9	GT	7
1927	10	GT	7
1928	59	CGen	7
1929	60	CGen	7
1930	61	CGen	1
1931	62	CGen	1
1932	63	CGen	1
1933	64	CGen	17
1934	67	CoC	74
1935	25	NACE	7
1936	68	CoC	55
1937	69	CoC	55
1938	26	CGen	89
1939	87	CoC	3
1940	89	CoC	74
1941	88	CoC	59
1942	90	CoC	74
1943	91	CoC	45
1944	92	CoC	17
1945	93	CoC	47
1946	94	CoC	3
1947	70	CoC	9
1948	11	CAssess	9
1949	27	CGen	2
1950	29	CGen	17
1951	30	CGen	1
1952	31	CGen	10
1953	125	CoDelib	1
1954	123	CoDelib	1
1955	127	CoDelib	1
1956	12	CAssess	5
1957	32	CGen	52
1958	131	CoDelib	1
1959	74	NACE	11
1960	75	NACE	25
1961	117	NAP	86
