id	codclg	sglclg	codund
969	904	CCP	9
970	906	CCP	9
971	1006	CCP	10
972	1007	CCP	10
973	1008	CCP	10
974	1104	CCP	11
975	1105	CCP	11
976	1108	CCP	11
977	1109	CCP	11
978	1110	CCP	11
979	1112	CCP	11
980	1113	CCP	11
981	1114	CCP	11
982	1115	CCP	11
983	1118	CCP	11
984	1119	CCP	11
985	1120	CCP	11
986	1121	CCP	11
987	1201	CCP	12
988	1202	CCP	12
989	1203	CCP	12
990	1205	CCP	12
991	1402	CCP	14
992	1403	CCP	14
993	1404	CCP	14
994	1405	CCP	14
995	1702	CCP	17
996	1703	CCP	17
997	1704	CCP	17
998	1705	CCP	17
999	1706	CCP	17
1000	1707	CCP	17
1001	1708	CCP	17
1002	1709	CCP	17
1003	1710	CCP	17
1004	9	CIPA	9
1005	1712	CCP	17
1006	1714	CCP	17
1007	1002	CCP	10
1008	1003	CCP	10
1009	1004	CCP	10
1010	1005	CCP	10
1011	1102	CCP	11
1012	1715	CCP	17
1013	1716	CCP	17
1014	1717	CCP	17
1015	1719	CCP	17
1016	1720	CCP	17
1017	1721	CCP	17
1018	1722	CCP	17
1019	1723	CCP	17
1020	1724	CCP	17
1021	1725	CCP	17
1022	1726	CCP	17
1023	1801	CCP	18
1024	1802	CCP	18
1025	1805	CCP	18
1026	1806	CCP	18
1027	1807	CCP	18
1028	1808	CCP	18
1029	1809	CCP	18
1030	1810	CCP	18
1031	1811	CCP	18
1032	1812	CCP	18
1033	2105	CCP	21
1034	2202	CCP	22
1035	2203	CCP	22
1036	2204	CCP	22
1037	2205	CCP	22
1038	2302	CCP	23
1039	2304	CCP	23
1040	2309	CCP	23
1041	2310	CCP	23
1042	2311	CCP	23
1043	2512	CCP	25
1044	2513	CCP	25
1045	2702	CCP	27
1046	2704	CCP	27
1047	2705	CCP	27
1048	2706	CCP	27
1049	2707	CCP	27
1050	2708	CCP	27
1051	3901	CCP	39
1052	4102	CCP	41
1053	4103	CCP	41
1054	4104	CCP	41
1055	4105	CCP	41
1056	4106	CCP	41
1057	4107	CCP	41
1058	4202	CCP	42
1059	4203	CCP	42
1060	4204	CCP	42
1061	4205	CCP	42
1062	4206	CCP	42
1063	4207	CCP	42
1064	4208	CCP	42
1065	4402	CCP	44
1066	4404	CCP	44
1067	4405	CCP	44
1068	4502	CCP	45
1069	4503	CCP	45
1070	4504	CCP	45
1071	4505	CCP	45
1072	4506	CCP	45
1073	4602	CCP	46
1074	4607	CCP	46
1075	4608	CCP	46
1076	4702	CCP	47
1077	4703	CCP	47
1078	4704	CCP	47
1079	4705	CCP	47
1080	4706	CCP	47
1081	5502	CCP	55
1082	5503	CCP	55
1083	5504	CCP	55
1084	5505	CCP	55
1085	5803	CCP	58
1086	5804	CCP	58
1087	5805	CCP	58
1088	5806	CCP	58
1089	5807	CCP	58
1090	5903	CCP	59
1091	5904	CCP	59
1092	5905	CCP	59
1093	5906	CCP	59
1094	5907	CCP	59
1095	5908	CCP	59
1096	5909	CCP	59
1097	5910	CCP	59
1098	6001	CCP	60
1099	6002	CCP	60
1100	6003	CCP	60
1101	6004	CCP	60
1102	6402	CCP	64
1103	7401	CCP	74
1104	7402	CCP	74
1105	7403	CCP	74
1106	7404	CCP	74
1107	7405	CCP	74
1108	7504	CCP	75
1109	9701	CCP	88
1110	9702	CCP	88
1111	9703	CCP	88
1112	9704	CCP	88
1113	9901	CCP	83
1114	10001	CCP	86
1115	10002	CCP	86
1116	10003	CCP	86
1117	10004	CCP	86
1118	10005	CCP	86
1119	10006	CCP	86
1120	10007	CCP	86
1121	10008	CCP	86
1122	10009	CCP	86
1123	10010	CCP	86
1124	10011	CCP	86
1125	10601	CCP	4
1126	10602	CCP	4
1127	1	CENTRO	8
1128	7	CENTRO	8
1129	7	CEP	7
1130	1	CEPID	8
1131	2	CEPID	76
1132	3	CEPID	9
1133	4	CEPID	17
1134	5	CEPID	55
1135	7	CEPID	46
1136	8	CEPID	41
1137	1	CERT	1
1138	1	CEU	1
1139	2	CEU	1
1140	3	CEU	1
1141	4	CEU	1
1142	5	CEU	1
1143	6	CEU	1
1144	7	CEU	1
1145	8	CEU	1
1146	9	CEU	1
1147	10	CEU	1
1148	41	CEUA	41
1149	13	CGen	17
1150	10	CHosp	10
1151	11	CHosp	10
1152	12	CHosp	10
1153	2	CoC	59
1154	3	CoC	59
1155	7	CCPAE	7
1156	55	CCPAE	55
1157	1	CEdit	7
1158	2	CENTRO	8
1159	3	CENTRO	6
1160	4	CENTRO	8
1161	5	CENTRO	8
1162	6	CENTRO	8
1163	8	CENTRO	8
1164	41	CEP	41
1165	74	CEP	74
1166	6	CEPID	76
1167	9	CEPID	45
1168	10	CEPID	17
1169	11	CEU	1
1170	12	CEU	1
1171	13	CEU	1
1172	14	CEU	1
1173	37	CG	37
1174	67	CG	5
1175	1	CGen	55
1176	2	CGen	55
1177	3	CGen	46
1178	4	CGen	55
1179	5	CGen	23
1180	6	CGen	27
1181	7	CGen	7
1182	8	CGen	55
1183	9	CGen	1
1184	10	CGen	27
1185	11	CGen	3
1186	12	CGen	17
1187	14	CGen	17
1188	1	CoC	75
1189	4	CoC	12
1190	5	CoC	12
1191	6	CoC	12
1192	8	CoC	59
1193	9	CoC	41
1194	10	CoC	55
1195	11	CoC	55
1196	13	CoC	55
1197	14	CoC	55
1198	37	CoC	16
1199	6011	CoC	6
1200	6020	CoC	6
1201	10012	CCP	68
1202	7	CCPc	7
1203	55	CCPc	55
1204	2	CoDeptoc	2
1205	3	CoDeptoc	3
1206	6	CoDeptoc	6
1207	7	CoDeptoc	7
1208	8	CoDeptoc	8
1209	9	CoDeptoc	9
1210	10	CoDeptoc	10
1211	11	CoDeptoc	11
1212	12	CoDeptoc	12
1213	14	CoDeptoc	14
1214	16	CoDeptoc	16
1215	17	CoDeptoc	17
1216	18	CoDeptoc	18
1217	22	CoDeptoc	22
1218	23	CoDeptoc	23
1219	25	CoDeptoc	25
1220	27	CoDeptoc	27
1221	39	CoDeptoc	39
1222	41	CoDeptoc	41
1223	42	CoDeptoc	42
1224	43	CoDeptoc	43
1225	196	CoDepto	2
1226	242	CoDepto	3
1227	11	CoDelib	1
1228	7	CoC	59
1229	12	CoC	55
1230	15	CoC	55
1231	16	CoC	18
1232	17	CoC	7
1233	18	CoC	7
1234	19	CoC	17
1235	20	CoC	17
1236	21	CoC	17
1237	22	CoC	17
1238	23	CoC	17
1239	24	CoC	17
1240	25	CoC	59
1241	26	CoC	27
1242	27	CoC	27
1243	28	CoC	18
1244	29	CoC	18
1245	30	CoC	18
1246	31	CoC	18
1247	32	CoC	18
1248	33	CoC	18
1249	34	CoC	18
1250	35	CoC	18
1251	36	CoC	16
1252	38	CoC	74
1253	39	CoC	46
1254	40	CoC	46
1255	41	CoC	86
1256	42	CoC	86
1257	43	CoC	86
1258	44	CoC	86
1259	45	CoC	86
1260	46	CoC	86
1261	47	CoC	86
1262	48	CoC	86
1263	49	CoC	86
1264	50	CoC	86
1265	44	CoDeptoc	44
1266	45	CoDeptoc	45
1267	46	CoDeptoc	46
1268	47	CoDeptoc	47
1269	48	CoDeptoc	48
1270	55	CoDeptoc	55
1271	58	CoDeptoc	58
1272	59	CoDeptoc	59
1273	60	CoDeptoc	60
1274	74	CoDeptoc	74
1275	75	CoDeptoc	75
1276	76	CoDeptoc	76
1277	189	CoDepto	2
1278	190	CoDepto	2
1279	191	CoDepto	2
1280	192	CoDepto	2
1281	193	CoDepto	2
1282	194	CoDepto	2
1283	195	CoDepto	2
1284	197	CoDepto	2
1285	241	CoDepto	3
1286	243	CoDepto	3
1287	245	CoDepto	3
1288	246	CoDepto	3
1289	248	CoDepto	3
1290	249	CoDepto	3
1291	250	CoDepto	3
1292	251	CoDepto	3
1293	252	CoDepto	3
1294	253	CoDepto	3
1295	423	CoDepto	5
1296	424	CoDepto	5
1297	425	CoDepto	5
1298	426	CoDepto	5
1299	427	CoDepto	5
1300	429	CoDepto	5
1301	430	CoDepto	5
1302	431	CoDepto	5
1303	432	CoDepto	5
1304	433	CoDepto	5
1305	434	CoDepto	5
1306	435	CoDepto	5
1307	436	CoDepto	5
1308	437	CoDepto	5
1309	438	CoDepto	5
1310	439	CoDepto	5
1311	506	CoDepto	6
1312	507	CoDepto	6
1313	508	CoDepto	6
1314	509	CoDepto	6
1315	548	CoDepto	7
1316	549	CoDepto	7
1317	550	CoDepto	7
1318	551	CoDepto	7
1319	591	CoDepto	8
1320	592	CoDepto	8
1321	594	CoDepto	8
1322	596	CoDepto	8
1323	598	CoDepto	8
1324	599	CoDepto	8
1325	600	CoDepto	8
1326	601	CoDepto	8
1327	602	CoDepto	8
1328	603	CoDepto	8
1329	652	CoDepto	9
1330	654	CoDepto	9
1331	659	CoDepto	9
1332	737	CoDepto	10
1333	761	CoDepto	11
1334	762	CoDepto	11
1335	766	CoDepto	11
1336	812	CoDepto	12
1337	813	CoDepto	12
1338	814	CoDepto	12
1339	604	CoDepto	8
1340	651	CoDepto	9
1341	734	CoDepto	10
1342	736	CoDepto	10
1343	758	CoDepto	11
1344	835	CoDepto	14
1345	836	CoDepto	14
1346	837	CoDepto	14
1347	891	CoDepto	16
1348	892	CoDepto	16
1349	893	CoDepto	16
1350	930	CoDepto	17
1351	932	CoDepto	17
1352	933	CoDepto	17
1353	935	CoDepto	17
1354	937	CoDepto	17
1355	938	CoDepto	17
1356	940	CoDepto	17
1357	942	CoDepto	17
1358	980	CoDepto	18
