coddis	codtur	matr
0060006	2015101	42
0060007	2015201	35
0060008	2015101	33
0060009	2015201	33
0060010	2015101	26
0060011	2015201	25
0060013	2015101	42
0060013	2015102	41
0060014	2015201	39
0060014	2015202	40
0060016	2015101	26
0060017	2015101	29
0060018	2015101	37
0060018	2015102	40
0060019	2015201	39
0060019	2015202	39
0060020	2015101	36
0060020	2015102	36
0060021	2015201	39
0060021	2015202	39
0060023	2015101	32
0060023	2015102	29
0060024	2015201	32
0060024	2015202	27
0060025	2015201	15
0060026	2015201	15
0060027	2015201	15
0100111	2015101	81
0100111	2015110	81
0100317	2015101	84
0100318	2015101	1
0100318	2015102	1
0100318	2015103	1
0100318	2015104	1
0100318	2015201	2
0100318	2015202	2
0100318	2015204	1
0100318	2015205	1
0100318	2015206	2
0100318	2015207	2
0100318	2015208	1
0100318	2015209	3
0100318	2015210	2
0100318	2015211	1
0100318	2015212	1
0100318	2015213	2
0100318	2015215	2
0100318	2015216	1
0100318	2015217	2
0100318	2015218	1
0100318	2015219	2
0100318	2015220	3
0100318	2015221	1
0100318	2015222	1
0100318	2015223	2
0100318	2015224	1
0100318	2015225	1
0100318	2015226	2
0100318	2015227	1
0100318	2015228	2
0100318	2015229	1
0100318	2015230	2
0100318	2015231	2
0100318	2015232	1
0100318	2015233	2
0100318	2015234	1
0100318	2015235	1
0100318	2015236	2
0100318	2015237	3
0100318	2015238	1
0100318	2015239	3
0110113	2015101	99
0110113	2015102	105
0110350	2015101	25
0110360	2015101	27
0110601	2015101	1
0110601	2015102	1
0110601	2015103	1
0110601	2015104	5
0110601	2015105	3
0110601	2015106	1
0110601	2015107	3
0110601	2015108	1
0110601	2015109	2
0110601	2015110	1
0110601	2015111	1
0110601	2015112	2
0110601	2015113	1
0110601	2015114	1
0110601	2015115	2
0110601	2015116	1
0110601	2015117	1
0110601	2015118	1
0110601	2015119	1
0110601	2015120	1
0110601	2015123	1
0110601	2015124	1
0110601	2015125	1
0110601	2015126	1
0110601	2015201	4
0110601	2015202	1
0110601	2015203	2
0110601	2015204	1
0110601	2015205	1
0110601	2015206	1
0110601	2015207	1
0110601	2015208	12
0110601	2015209	9
0110601	2015210	1
0110601	2015211	1
0110601	2015212	1
0110601	2015213	1
0110601	2015214	1
0110601	2015215	2
0110601	2015216	2
0110601	2015217	1
0110601	2015218	1
0110601	2015219	1
0110601	2015220	2
0110601	2015221	1
0110601	2015222	5
0110601	2015223	1
0110601	2015224	2
0110601	2015225	1
0110601	2015226	4
0110601	2015227	1
0110601	2015228	3
0110601	2015229	2
0110601	2015230	2
0110601	2015231	1
0110601	2015232	1
0110601	2015233	1
0110601	2015234	2
0110601	2015235	4
0110601	2015236	1
0110601	2015237	2
0110601	2015238	2
0110601	2015239	1
0110601	2015240	1
0110601	2015241	1
0110601	2015242	1
0110602	2015101	2
0110602	2015102	2
0110602	2015103	1
0110602	2015104	1
0110602	2015105	1
0110602	2015201	1
0110602	2015202	2
0110602	2015203	1
0110602	2015204	1
0110602	2015205	1
0110602	2015206	1
0110612	2015202	54
0110660	2015101	1
0110660	2015103	1
0110660	2015104	1
0110660	2015105	1
0110660	2015106	1
0110660	2015107	1
0110660	2015108	1
0110660	2015109	1
0110660	2015110	1
0110660	2015111	1
0110660	2015112	1
0110660	2015113	1
0110660	2015114	1
0110660	2015201	2
0110660	2015202	1
0110660	2015203	1
0110660	2015205	1
0110660	2015206	1
0110660	2015207	1
0110660	2015208	1
0110660	2015209	1
0110660	2015212	1
0110660	2015213	1
0110660	2015214	1
0110670	2015101	1
0110670	2015102	1
0110670	2015103	1
0110670	2015201	1
0110670	2015202	2
0110670	2015203	1
0110670	2015204	1
0110670	2015205	1
0110670	2015206	1
0110680	2015101	1
0110680	2015102	1
0110680	2015201	2
0110680	2015202	1
0110680	2015203	1
0110680	2015204	1
0110688	2015201	20
0110700	2015101	1
0110700	2015102	1
0111000	2015101	1
0111000	2015102	1
0111000	2015103	1
0111000	2015104	1
0111000	2015105	2
0111000	2015106	3
0111000	2015107	3
0111000	2015109	2
0111000	2015110	1
0111000	2015111	1
0111000	2015112	5
0111000	2015113	1
0111000	2015114	3
0111000	2015116	1
0111000	2015117	1
0111000	2015118	1
0111000	2015119	3
0111000	2015120	1
0111000	2015121	1
0111000	2015122	1
0111000	2015123	1
0111000	2015124	1
0111000	2015125	1
0111000	2015126	4
0111000	2015128	1
0111000	2015129	2
0111000	2015130	1
0111000	2015131	2
0111000	2015132	1
0111000	2015133	2
0111000	2015135	1
0111000	2015136	2
0111000	2015137	1
0111000	2015138	1
0111000	2015139	1
0111000	2015140	1
0111000	2015141	1
0111000	2015142	1
0111000	2015143	1
0111000	2015144	1
0111000	2015145	1
0111000	2015146	1
0111000	2015147	1
0111000	2015148	1
0111000	2015201	1
0111000	2015202	6
0111000	2015203	2
0111000	2015204	8
0111000	2015205	5
0111000	2015206	1
0111000	2015207	1
0111000	2015208	7
0111000	2015209	1
0111000	2015210	1
0111000	2015211	2
0111000	2015212	1
0111000	2015213	2
0111000	2015214	6
0111000	2015215	1
0111000	2015216	3
0111000	2015217	1
0111000	2015218	2
0111000	2015219	1
0111000	2015220	5
0111000	2015221	3
0111000	2015222	1
0111000	2015223	1
0111000	2015224	5
0111000	2015225	1
0111000	2015226	1
0111000	2015227	1
0111000	2015228	1
0111000	2015229	1
0111000	2015230	1
0111000	2015231	1
0111000	2015232	1
0111000	2015233	1
0111000	2015234	1
0111000	2015235	2
0111000	2015236	2
0111000	2015237	1
0111000	2015238	1
0111000	2015239	1
0111000	2015240	1
0111000	2015241	2
0111000	2015242	1
0111000	2015243	1
0111000	2015244	1
0111000	2015245	1
0111000	2015246	2
0111000	2015247	2
0111000	2015248	1
0111000	2015249	1
0111000	2015250	3
0111000	2015251	1
0111000	2015252	5
0111000	2015253	3
0111000	2015254	3
0111000	2015255	1
0111000	2015256	2
0111000	2015257	1
0111000	2015258	1
0111000	2015259	1
0111000	2015260	2
0111000	2015261	1
0111000	2015262	3
0111000	2015263	1
0112000	2015101	1
0112000	2015102	1
0112000	2015103	2
0112000	2015104	1
0112000	2015105	1
0112000	2015106	1
0112000	2015108	4
0112000	2015109	1
0112000	2015110	1
0112000	2015111	1
0112000	2015112	1
0112000	2015113	2
0112000	2015114	1
0112000	2015201	2
0112000	2015202	3
0112000	2015203	2
0112000	2015204	3
0112000	2015205	1
0112000	2015206	5
0112000	2015207	3
0112000	2015208	1
0112000	2015209	1
0112000	2015210	2
0112000	2015211	1
0112000	2015212	1
0112000	2015213	1
0112000	2015214	1
0200101	2015152	100
0200101	2015154	70
0200102	2015152	104
0200102	2015154	110
0200104	2015160	3
0200104	2015260	506
0200109	2015250	23
0300001	2015101	118
0300001	2015201	26
0300002	2015101	22
0300002	2015201	107
0303200	2015101	68
0303200	2015102	81
0303200	2015103	72
0303200	2015104	64
0303200	2015105	57
0303200	2015106	65
0303200	2015107	54
0303200	2015108	48
0303200	2015109	60
0303200	2015110	64
0303200	2015111	61
0303200	2015112	72
0303200	2015190	33
0303200	2015250	107
0303410	2015101	64
0313101	2015101	43
0313101	2015102	22
0313101	2015103	39
0313101	2015104	39
0313101	2015105	40
0313102	2015201	48
0313102	2015202	48
0313102	2015203	47
0313102	2015204	47
0323100	2015201	26
0323100	2015202	20
0323100	2015203	25
0323100	2015204	23
0323100	2015205	28
0323100	2015206	21
0323100	2015207	21
0323100	2015208	26
0410107	2015101	71
0410107	2015102	71
0410107	2015111	72
0410107	2015112	73
0410109	2015101	60
0410109	2015102	66
0410109	2015111	61
0410109	2015112	67
0410111	2015101	23
0410111	2015102	34
0410113	2015101	63
0410113	2015102	66
0410113	2015111	64
0410113	2015112	68
0410117	2015101	76
0410117	2015102	57
0410301	2015201	22
0410301	2015202	23
0410301	2015211	22
0410301	2015212	23
0410401	2015101	9
0410401	2015111	8
0410403	2015102	24
0410513	2015101	12
0410513	2015102	9
0410513	2015103	3
0410513	2015104	3
0410513	2015105	9
0410513	2015201	20
0410513	2015202	5
0410513	2015203	16
0410513	2015204	10
0410513	2015205	9
0410514	2015201	46
0410514	2015202	16
0410517	2015101	26
0410517	2015102	23
0411201	2015101	40
0411201	2015102	39
0411202	2015201	40
0411202	2015202	25
0411203	2015101	52
0411203	2015102	29
0411204	2015201	53
0411204	2015202	28
0411206	2015201	62
0411206	2015202	65
0420102	2015101	3
0420103	2015201	2
0420104	2015101	3
0420105	2015201	3
0420107	2015101	42
0420107	2015111	42
0420108	2015201	38
0420108	2015211	38
0420109	2015101	37
0420110	2015201	35
0420110	2015211	36
0420111	2015101	40
0420112	2015201	31
0420112	2015211	31
0420113	2015201	35
0420113	2015202	2
0420114	2015101	13
0420114	2015102	6
0420114	2015103	2
0420114	2015104	7
0420115	2015201	28
0420116	2015201	32
0420117	2015201	7
0420117	2015202	1
0420117	2015203	19
0420118	2015101	12
0420119	2015101	18
0420120	2015201	8
0420121	2015201	19
0420122	2015201	6
0420124	2015101	41
0420125	2015201	38
0420125	2015211	39
0420127	2015101	87
0420127	2015111	43
0420127	2015112	45
0420128	2015201	81
0420129	2015101	80
0420129	20151A1	40
0420129	20151A2	38
0420130	2015201	92
0440001	2015210	18
0440001	2015211	18
0440002	2015110	18
0440002	2015111	18
0440100	2015110	49
0440100	2015111	52
0440101	2015110	53
0440101	2015111	55
0440102	2015110	48
0440201	2015110	34
0440201	2015111	36
0440208	2015210	34
0440208	2015211	34
0440208	2015220	27
0440208	2015221	27
0440220	2015110	52
0440220	2015111	52
0440221	2015110	48
0440221	2015111	27
0440221	2015112	22
0440222	2015210	42
0440222	2015211	42
0440302	2015210	9
0440302	2015211	10
0440314	2015210	17
0440318	2015110	17
0440318	2015111	17
0440319	2015110	51
0440319	2015111	52
0440320	2015210	49
0440320	2015211	48
0440413	2015110	21
0440413	2015111	22
0440415	2015110	50
0440415	2015111	50
0440416	2015210	52
0440416	2015211	52
0440418	2015210	25
0440418	2015211	25
0440420	2015110	51
0440420	2015111	51
0440493	2015110	7
0440494	2015210	8
0440500	2015110	51
0440500	2015111	50
0440501	2015110	4
0440501	2015210	4
0440607	2015210	23
0440607	2015211	23
0440607	2015220	22
0440607	2015221	22
