coddis	codtur	matr
0060006	2020101	40
0060007	2020201	35
0060008	2020101	22
0060009	2020201	26
0060010	2020101	24
0060011	2020201	28
0060013	2020101	43
0060013	2020102	42
0060014	2020201	37
0060014	2020202	41
0060017	2020101	21
0060018	2020101	39
0060018	2020102	44
0060019	2020201	45
0060019	2020202	53
0060020	2020101	37
0060020	2020102	28
0060021	2020201	36
0060021	2020202	30
0060023	2020101	31
0060023	2020102	30
0060024	2020201	34
0060024	2020202	34
0060025	2020101	3
0060025	2020201	14
0060026	2020101	3
0060026	2020201	11
0060027	2020101	4
0060027	2020201	12
0060028	2020101	30
0060028	2020102	27
0060028	2020103	20
0060029	2020201	31
0060029	2020202	26
0060029	2020203	20
0100101	2020101	76
0100318	2020101	1
0100318	2020102	1
0100318	2020103	1
0100318	2020104	1
0100318	2020201	1
0100318	2020202	1
0100318	2020203	2
0100318	2020204	1
0100318	2020205	2
0100318	2020206	1
0100318	2020207	2
0100318	2020208	2
0100318	2020209	2
0100318	2020210	1
0100318	2020211	4
0100318	2020212	1
0100318	2020213	1
0100318	2020215	1
0100318	2020216	1
0100318	2020217	2
0100318	2020218	1
0100318	2020219	2
0100318	2020220	1
0100318	2020221	1
0100318	2020222	1
0100318	2020223	1
0100318	2020225	1
0100318	2020226	2
0100318	2020227	1
0100318	2020228	3
0100318	2020229	1
0102201	2020201	83
0110113	2020101	99
0110113	2020102	100
0110130	2020101	99
0110130	2020102	105
0110152	2020201	39
0110152	2020211	29
0110152	2020212	8
0110152	2020213	3
0110350	2020101	31
0110360	2020101	5
0110444	2020101	1
0110444	2020103	3
0110444	2020104	1
0110444	2020201	1
0110444	2020202	1
0110444	2020203	1
0110444	2020204	2
0110444	2020205	2
0110444	2020206	2
0110444	2020207	1
0110444	2020208	4
0110444	2020209	1
0110444	2020210	1
0110444	2020211	1
0110444	2020213	1
0110444	2020214	1
0110444	2020215	1
0110444	2020216	1
0110501	2020101	1
0110501	2020103	2
0110501	2020104	1
0110501	2020105	2
0110501	2020106	1
0110501	2020108	1
0110501	2020109	1
0110501	2020110	2
0110501	2020111	2
0110501	2020112	1
0110501	2020113	2
0110501	2020114	1
0110501	2020115	1
0110501	2020116	1
0110501	2020117	1
0110501	2020201	1
0110501	2020202	1
0110501	2020203	1
0110501	2020204	1
0110501	2020205	1
0110501	2020207	1
0110501	2020209	1
0110501	2020210	1
0110501	2020211	4
0110501	2020212	1
0110501	2020213	2
0110501	2020214	1
0110501	2020215	2
0110501	2020216	4
0110501	2020217	1
0110501	2020218	6
0110501	2020219	2
0110501	2020220	1
0110501	2020222	1
0110501	2020223	1
0110501	2020224	2
0110501	2020226	1
0110501	2020227	1
0110501	2020228	1
0110502	2020101	1
0110502	2020102	1
0110502	2020103	2
0110606	2020101	1
0110606	2020102	1
0110606	2020201	1
0110606	2020202	2
0110606	2020203	1
0110606	2020204	1
0110606	2020205	1
0110612	2020201	46
0110660	2020101	1
0110660	2020103	1
0110660	2020104	1
0110660	2020105	1
0110660	2020106	1
0110660	2020107	1
0110660	2020108	1
0110660	2020109	1
0110660	2020110	1
0110660	2020111	1
0110660	2020112	1
0110660	2020115	2
0110660	2020116	1
0110660	2020117	1
0110660	2020118	1
0110660	2020201	1
0110660	2020202	1
0110660	2020203	1
0110660	2020204	1
0110660	2020205	1
0110660	2020206	1
0110660	2020207	1
0110660	2020208	1
0110660	2020209	1
0110660	2020210	1
0110660	2020211	1
0110660	2020212	1
0110660	2020213	1
0110660	2020214	1
0110660	2020215	1
0110670	2020101	1
0110670	2020102	1
0110670	2020202	1
0110670	2020203	1
0110680	2020101	1
0110680	2020102	1
0110680	2020201	1
