coddis	codtur	matr
0060006	2014101	40
0060007	2014201	37
0060008	2014101	32
0060009	2014202	27
0060010	2014101	31
0060011	2014202	30
0060013	2014101	40
0060013	2014102	43
0060014	2014201	42
0060014	2014202	47
0060016	2014101	25
0060018	2014101	39
0060018	2014102	34
0060019	2014201	37
0060019	2014202	35
0060020	2014101	37
0060020	2014102	30
0060021	2014201	34
0060021	2014202	29
0100111	2014101	85
0100111	2014110	85
0100317	2014107	69
0100318	2014202	3
0100318	2014204	1
0100318	2014205	2
0100318	2014206	2
0100318	2014208	1
0100318	2014209	2
0100318	2014210	2
0100318	2014211	2
0100318	2014212	2
0100318	2014213	1
0100318	2014214	1
0100318	2014215	2
0100318	2014216	1
0100318	2014217	1
0100318	2014218	1
0100318	2014219	2
0100318	2014220	2
0100318	2014221	1
0100318	2014222	1
0100318	2014223	1
0100318	2014224	2
0100318	2014225	3
0100318	2014226	2
0100318	2014227	1
0100318	2014228	3
0100318	2014229	1
0100318	2014230	1
0100318	2014231	1
0100318	2014232	3
0100318	2014233	1
0100318	2014234	2
0100318	2014235	1
0110113	2014101	98
0110113	2014102	101
0110350	2014101	19
0110360	2014101	16
0110601	2014101	1
0110601	2014102	1
0110601	2014103	1
0110601	2014104	2
0110601	2014105	2
0110601	2014106	1
0110601	2014107	1
0110601	2014108	2
0110601	2014109	1
0110601	2014110	1
0110601	2014111	1
0110601	2014112	1
0110601	2014113	1
0110601	2014114	1
0110601	2014115	1
0110601	2014116	1
0110601	2014201	1
0110601	2014202	1
0110601	2014203	2
0110601	2014204	1
0110601	2014205	4
0110601	2014206	6
0110601	2014207	2
0110601	2014208	2
0110601	2014209	6
0110601	2014210	2
0110601	2014211	3
0110601	2014212	1
0110601	2014213	1
0110601	2014214	1
0110601	2014215	1
0110601	2014216	1
0110601	2014217	1
0110601	2014218	2
0110601	2014219	1
0110601	2014220	2
0110601	2014221	2
0110601	2014222	1
0110601	2014223	1
0110601	2014224	3
0110601	2014225	1
0110601	2014226	1
0110601	2014227	1
0110601	2014228	1
0110601	2014229	2
0110601	2014230	1
0110601	2014231	1
0110601	2014232	1
0110601	2014233	1
0110601	2014234	2
0110601	2014235	1
0110601	2014236	2
0110601	2014237	1
0110601	2014238	1
0110601	2014239	1
0110601	2014240	1
0110601	2014241	1
0110601	2014242	1
0110601	2014243	1
0110602	2014101	1
